simu_lambda_ci;simu_exec_ci;total_average_simu_power;avg_total_simu_lambda_usage;simu_nodes_mean;simu_lambdas_mean;simu_time_mean;avg_total_simu_cloud;avg_total_simu_fog;total_simu_served;total_simu_reqs;total_simu_avai
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.19516730475159697;0.26618236028521314;285.0;0.015359999999999999;0.5;0.5;0.02094900608062744;0.5;0.5;0.5;0.5;0.5
0.19516730475159697;0.30165809370033714;285.0;0.015359999999999999;0.5;0.5;0.02374100685119629;0.5;0.5;1.0;1.0;0.5
0.19516730475159697;0.48615508233286625;285.0;0.015359999999999999;0.5;0.5;0.038261234760284424;0.5;0.5;0.5;0.5;0.5
0.13940521767971212;0.289551115467679;783.75;0.04169142857142857;1.375;1.375;0.06428408622741699;1.0;1.0;2.5;2.5;1.0
0.5145319852542098;0.08485247076712203;1075.7353;0.11869090909090907;1.8872549019607843;1.8872549019607843;0.14951293608721566;1.0;1.0;11.5;11.5;1.0
0.1613578341973802;1.347908620345609;1085.71425;0.200765478424015;1.9047619047619047;1.9047619047619047;0.2764123820123218;1.0;1.0;21.0;21.0;1.0
0.4211400798007678;0.1202748829706603;1123.3806;0.3490387827145466;1.9708431836091411;1.9708431836091411;0.29038788367670476;1.0;1.0;37.0;37.0;1.0
0.23755965934298628;0.23154455760426987;1124.45455;0.43214809378185515;1.9727272727272727;1.9727272727272727;0.33059091351249004;1.0;1.0;55.0;55.0;1.0
0.002090019886256291;0.17929963991211306;1129.79905;0.45620169743466793;1.9821036106750394;1.9821036106750394;0.29585084836561604;1.0;1.0;57.0;57.0;1.0
0.10941676914136829;0.16891658728869696;1123.73425;0.41931831351351345;1.9714635854341735;1.9714635854341735;0.2866516556350791;1.0;1.0;53.5;53.5;1.0
0.24941091184908573;0.4521798974506207;1124.1514;0.4487874644628099;1.9721954355512696;1.9721954355512696;0.29183197278219264;1.0;1.0;56.0;56.0;1.0
0.362940712913133;0.3286084362676544;1123.4502;0.43765712288875946;1.9709653092006034;1.9709653092006034;0.3119405826966687;1.0;1.0;51.5;51.5;1.0
0.25233752533539794;0.44251758245092226;1128.6;0.420150303030303;1.98;1.98;0.31134881973266604;1.0;1.0;50.0;50.0;1.0
0.04989768170794712;0.30463730334999006;1128.9732;0.425599453769559;1.9806547619047619;1.9806547619047619;0.2899506274788153;1.0;1.0;52.0;52.0;1.0
0.22051370796609052;0.016814273067362228;1126.49665;0.41272519480519476;1.9763099219620959;1.9763099219620959;0.2551306208705689;1.0;1.0;42.5;42.5;1.0
0.2646336335614879;0.41510018216536987;1121.59375;0.2863728813559322;1.9677083333333334;1.9677083333333334;0.21014879706005257;1.0;1.0;31.0;31.0;1.0
0.796294858790268;0.27300544455171605;1114.35;0.2564420722135008;1.955;1.955;0.180133358836174;1.0;1.0;22.5;22.5;1.0
0.015758850694228124;0.4410310003535908;1090.3409000000001;0.13480546583850933;1.912878787878788;1.912878787878788;0.1490136764266274;1.0;1.0;11.5;11.5;1.0
0.23466544976084883;0.024152286632850226;1032.66235;0.10294857142857142;1.8116883116883118;1.8116883116883118;0.11801270076206752;1.0;1.0;9.0;9.0;1.0
0.04530669574590645;0.10562263072670151;954.75;0.053485714285714275;1.675;1.675;0.07777004539966584;1.0;1.0;6.5;6.5;1.0
